,home_team_goal,away_team_goal,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-opposition_shots,home-opposition_shots_on_target,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-opposition_shots,away-opposition_shots_on_target
6667,1,2,1.8,3.75,4.33,3,4,3,13,15,116,52,90,54,1,4,5,10,16,114,61,103,49
6668,2,1,3.4,3.4,2.1,2,4,4,7,13,123,56,117,67,3,3,4,11,9,114,63,92,49
6669,1,2,2.15,3.4,3.25,4,3,3,14,11,102,51,108,57,4,2,4,10,15,111,57,115,47
6670,0,1,1.83,3.75,4.0,5,2,3,16,15,80,31,127,63,2,2,6,9,18,106,53,119,62
6671,3,0,1.25,5.5,12.0,7,3,0,22,7,122,69,86,43,4,1,5,14,13,118,55,117,62
6672,1,2,3.1,3.0,2.55,1,2,7,10,21,96,43,91,40,2,6,2,8,9,95,53,100,48
6673,1,2,1.62,4.0,5.5,4,4,2,15,13,90,43,154,80,4,2,4,14,13,94,41,78,34
6674,1,1,1.85,3.4,4.75,4,2,4,12,10,96,45,90,50,4,2,4,13,23,117,65,103,53
6675,1,1,1.44,4.33,8.0,5,1,4,18,16,91,39,89,43,2,2,6,9,19,107,54,112,47
6676,0,1,1.85,3.5,4.5,3,4,3,8,8,105,58,113,51,2,4,4,13,19,101,51,117,60
6677,0,0,2.1,3.25,3.75,4,1,5,15,18,107,49,117,59,3,3,4,15,16,70,33,103,45
6678,0,2,3.5,3.4,2.1,4,3,3,15,11,80,41,84,31,7,1,2,24,8,109,53,81,39
6679,2,2,1.5,4.2,7.0,4,3,3,11,14,72,38,113,57,1,0,9,3,21,96,51,112,59
6680,3,1,1.91,3.6,3.8,4,1,5,14,15,110,50,115,55,3,3,4,14,13,110,54,109,55
6681,0,0,2.3,3.2,3.3,2,3,5,10,16,106,52,105,43,4,3,3,12,9,93,45,90,49
6682,1,0,2.05,3.4,3.6,0,3,7,11,22,116,58,120,67,2,1,7,11,21,95,39,100,50
6683,2,1,1.33,5.0,9.0,4,2,4,17,11,145,65,73,40,3,4,3,8,10,78,32,148,77
6684,3,1,1.53,4.0,6.0,5,2,3,10,9,101,52,129,71,2,1,7,9,20,123,66,102,46
6685,1,0,3.75,3.4,2.0,4,3,3,13,12,104,49,140,73,5,5,0,21,10,135,76,112,61
6686,1,1,3.4,3.3,2.15,2,2,6,5,12,99,46,127,76,3,2,5,15,13,125,72,111,62
6687,3,3,3.6,3.5,2.0,4,4,2,16,13,124,56,122,63,4,3,3,15,9,125,73,106,66
6688,0,0,2.15,3.2,3.5,3,1,6,13,17,106,48,93,49,1,4,5,7,18,108,50,79,43
6689,1,0,1.29,5.25,10.0,4,3,3,13,9,110,50,92,47,1,0,9,6,26,106,57,146,75
6690,0,2,3.75,3.2,2.05,5,2,3,20,18,74,33,119,57,6,2,2,25,8,105,54,105,55
6691,1,2,2.15,3.4,3.3,4,1,5,10,14,119,61,107,47,3,3,4,13,18,92,49,123,59
6692,2,1,2.4,3.0,3.2,2,2,6,9,17,100,54,79,45,4,3,3,9,11,105,59,65,32
6693,4,0,1.75,3.6,4.75,2,3,5,10,10,104,53,95,53,5,3,2,10,6,91,41,85,43
6694,1,1,2.2,3.4,3.25,3,3,4,11,13,125,69,87,41,6,2,2,16,11,86,36,104,56
6695,1,2,2.05,3.4,3.6,3,3,4,14,13,91,47,122,63,1,5,4,11,16,74,34,131,69
6696,1,3,6.0,4.33,1.5,4,3,3,20,18,134,70,114,62,7,2,1,19,5,166,83,60,30
6697,1,2,2.05,3.4,3.5,2,4,4,18,24,93,47,114,63,1,4,5,14,21,92,45,127,74
6698,0,2,2.3,3.25,3.1,3,4,3,10,13,106,60,88,51,4,2,4,13,18,84,45,155,84
6699,1,0,3.2,3.4,2.2,3,4,3,14,13,105,50,76,27,4,1,5,22,14,119,67,106,49
6700,1,0,2.0,3.2,4.0,4,2,4,10,14,96,52,168,85,2,5,3,10,13,79,32,101,55
6701,0,1,2.0,3.3,3.8,4,4,2,15,11,111,62,93,49,4,2,4,12,10,107,55,106,60
6702,0,1,6.0,3.75,1.57,2,3,5,5,13,106,51,170,84,3,3,4,13,16,113,51,87,51
6703,1,2,4.0,3.1,2.05,4,4,2,12,8,134,77,113,62,9,1,0,18,1,136,74,73,40
